# 【完全版・マーフィーの法則】永久保存版 ～潜在意識と成功・お金・健康・幸せ～
- [Youtube](https://www.youtube.com/watch?v=QYP-iNf4VJc&t=13s)
- [Youtube](https://www.youtube.com/watch?v=puUOk2wZTcU)

  - RADIO引き寄せ	チャンネル登録者数 9360人
　　04:52	
　　04:56	あなたが知れば知るほどその力は増幅され、
　　04:59	あなたが傷ついたとき、悩むとき、そこから救い出してくれます。
　　05:04	どんな苦痛からも解き放ってくれるのです。



　　05:09	潜在意識の基礎知識。
　　05:12	どんなに素晴らしい素質や能力のある人でもそれをうまく使いこなせなければ何の意味もありません。
　　05:18	
　　05:20	どんな分野でも、基礎をマスターすることは必要です。
　　05:23	もちろん、潜在意識についても同じ事です。
　　05:27	潜在意識を使いこなしたければ、その基礎知識を十分に自分のものにすることが先決です。
　　05:33	そうすれば結果は確実にあなたの望んだものとなっていくでしょう。
　　05:39	今、私は１個のオレンジを持っています。
　　05:43	手を離せばオレンジは床に落ちます、当然のことですね。
　　05:47	物質安永すれば傍聴する、これも当たり前のことです。
　　05:50	日本だからアメリカだからといって、この原理が変わることなどありえません。
　　05:55	潜在意識でも同じことが言えます。
　　05:58	電流がプラス極からマイナス極へ流れるという法則があるように、潜在意識にも法則があります。
　　06:05	それは、信念に従って働くという法則です。
　　06:07	
　　06:10	では、信念の法則とはいったいなんでしょうか。
　　06:13	それはとても簡単な事です。「信じる」ことなのです。
　　06:15	
　　06:18	あなたが心に思うこと、願う事、そして、あなた自身の力を信じるということです。
　　06:25	信じた結果、あなたに起こる出来事や
　　06:29	あなたの状態、あなたの経験、それらすべてが潜在意識の働き、と考えていいでしょう。
　　06:36	いいですか、よく聞いてください。
　　06:37	
　　06:39	結果を引き起こすのは、信じる対象物、例えば十字架や仏像ではなく、あなた自身。
　　06:41	
　　06:47	つまり、あなたの心の中の想いなのです。		★
　　06:52	このことを決して忘れないでください。		★
　　06:55	誤った信念や恐怖名神などにとらわれてはいけません。
　　06:59	これらのネガティブ、つまり消極的な考えや感情は、真実からあなたを遠ざけてしまうだけです。
　　07:06	
　　07:08	いつでも、心の調和を保って、健康で平和な状態を維持しておいてください。
　　07:09	
　　07:15	いつでもポジティブ、つまり積極的な生活状態でいてください。
　　07:20	そうすれば、あなたの人生に奇跡が起こります。
　　07:22	



　　07:24	[音楽]
　　07:26	二つの意識
　　07:28	あなたを含めて全ての人間は、全く異なる二つの意識や思考を持っています。
　　07:32	
　　07:35	例えば、
　　07:37	男性的な面であったり女性的な面であったり、あるいは、客観的であったり主観的であったり、
　　07:42	
　　07:42	また表面的なものや内面的なもの、そして
　　07:46	意識的なものや無意識的なものといったようなものです。
　　07:50	このような、心の二面的な性質を示すために、
　　07:56	このプログラムでは顕在意識と潜在意識という言葉でそれを表現します。
　　08:01	あなたの心を畑に例えるなら、その畑にどんな種をまいた彼はあなたの今の状態から知る
　　08:08	ことができます
　　08:10	ポジティブ、積極的な考えの種をまけばポジティブなものを得るでしょうし、
　　08:11	
　　08:15	ネガティブ、消極的な考えの種をまけばネガティブなものが得られるわけです。
　　08:17	
　　08:22	潜在意識は実にあなたに忠実です。
　　08:26	あらゆる考えは原因となりあらゆる状態は、その結果として現れたものです。
　　08:32	ですから、あなたは自分にとって望ましい状態だけが手に入るように考えればいいのです。
　　08:33	
　　08:39	常に、ポジティブな考えで物事を見ることができたら、あなたは心地よい環境のなかで最高
　　08:45	の状態でいられるようになります。
　　08:47	そうするとどんな障害もどんな困難も、対して問題ではないと思えてくるはずです。
　　08:50	
　　08:53	それは、万物を支配し、無限で万能の法則を持つ宇宙の意識にあなたは同化したためです。
　　09:01	意識的であろうと無意識的であろうと、
　　09:04	あなたの前に現れた世界というのは、あなた自身が作り上げたものなんです。
　　09:10	あなたが、今の生活を変えたいと思ったら、まず顕在意識と潜在意識の相互作用について
　　09:17	熟知することです。
　　09:19	今ある状況や環境を変えたいと思うなら、原因を追究し、その元から正していかなければ、
　　09:26	変化が起こりません。
　　09:28	たいてい、人は状況や環境に対して直接働きかけて、何も変わらないと分かると失望し、
　　09:35	諦めてしまいます。
　　09:36	でもそれは当然のことで、自分の中にある原因をそのまま抱えたままだからです。
　　09:43	ではその原因とは、
　　09:45	それは、あなたの顕在意識のことです。つまり、あなたの考え方や気持ち
　　09:46	
　　09:50	イメージに原因があるわけです。
　　09:53	また、もう一方のあなたの潜在意識はあなたの考えにとても敏感で中立です。
　　09:55	
　　09:57	
　　10:01	ですから、あなたの考え方という鋳型に沿って、無限のエネルギーが流れこんでいます。
　　10:02	
　　10:08	もし、このプログラムでお話する潜在意識の法則を実際に活用するなら、
　　10:11	
　　10:14	貧困や無知、苦痛、悲しみ、恐怖、
　　10:17	失敗の代わりに、富や知識、喜び、愛、自信、そして成功を手にすることが必ずできます。
　　10:26	それらが、全て手に入るとしたらあなたが試してみない手はないでしょう。
　　10:32	芸術家をはじめ偉大な科学者発明家作家など4に成功を収め、
　　10:37	名を広めた人たちの多くは潜在意識についてよく理解しています。
　　10:43	例えば、
　　10:44	有名なオペラ歌手のカルーソーにはこんなエピソードがあります。
　　10:49	ある日、カルーソーは、とてつもない恐怖と緊張感に襲われ、彼の喉の筋肉が痙攣を始めました。
　　10:57	舞台を目の前にしながら、この状態ではまず向かうことは無理です。
　　11:00	
　　11:02	彼の焦りは、不安と恐怖は一層瞑らせていきます。
　　11:06	彼は耐えきれない苦しさを追い払うために舞台裏でこう叫びました。
　　11:11	ここから出て行け！今すぐ出て行け！
　　11:12	
　　11:14	お前は私の中のごく小さな一部分でしかないのだ。
　　11:18	私を支配する本当の私は、今から歌おうとしているんだ！私は歌いたいんだ！
　　11:25	これは、無限の力を持つ潜在意識が、
　　11:26	
　　11:29	彼が歌いたがっているということを、もう一つも顕在意識に主張したことになります。
　　11:36	すると、彼の中に、歌いたい！という新たな顕在意識が生まれてくるわけです。
　　11:42	彼の潜在意識と顕在意識に一致したとき、不思議に喉の痙攣は収まり、
　　11:49	不安も恐怖の彼の中から消えていきました。
　　11:52	もちろん、彼は見事な歌声で観客を魅了し、舞台は大成功でした。
　　11:58	成功を収められたのは、
　　12:00	カルーソーが、顕在意識と潜在意識をよく理解していたからなのですね。
　　12:08	いいですか。前にも述べましたが、潜在意識はとても従順べ反応しやすいのです。
　　12:09	
　　12:11	
　　12:15	顕在意識が不安や恐怖に満ち、あなたを支配し始めると、
　　12:18	潜在意識の中にもそのネガティブな感情が流れ込んでしまいます。
　　12:24	
　　12:25	そうなると、あなたはどうにも身動きが取れなくなり、パニックに陥ってしまうでしょう。
　　12:29	
　　12:31	ですから、
　　12:32	もしあなたに、そういうことが起きかけたら、本当に望むことを潜在意識に再確認させることです。
　　12:38	
　　12:39	潜在意識は顕在意識、つまり、あなたが今考え、意識している気持ちに従うからです。
　　12:44	
　　12:47	こうしたいけど失敗するかもしれない、そう思えば失敗させ、こうしたいから必ず成功する。
　　12:54	そう思えば、無限の力を持って、成功させてくれるはずです。



　　13:00	顕在意識と潜在意識の関係と働き
　　13:05	
　　13:07	さて、顕在意識と潜在意識の関係についてもう少し詳しく例を挙げて説明してみましょう。
　　13:14	あなたを船にたとえたなら、その船の船長は顕在意識ということになります。
　　13:16	
　　13:21	船長の命令により、乗組員はそれぞれの任務を果たします。
　　13:26	もし、船長が誤った指令はだし、船は岩に乗り上げることになっても、彼がGo！といえば、
　　13:31	乗組員はその指示通りに動きます。
　　13:35	なぜなら、船長こそが主人であり、主人には絶対服従だからです。
　　13:40	ですから、あなたの船長である顕在意識があなたの環境やあなたに関わるあらゆる物事を決めることになります。
　　13:41	
　　13:44	
　　13:50	あなたの顕在意識が命令を出すと、あなたの環境やあなたに関わるあらゆる物事を決めることになります。
　　13:53	潜在意識は無限の力を持ってその命令に忠実に従います。
　　13:58	だからこそ、
　　13:59	気をつけなくてはいけません
　　14:02	では、ネガティブに考えた場合の例を具体的に挙げてみましょう。
　　14:07	あなたは、キノコが大嫌いだったします。
　　14:08	
　　14:11	なのにどうしても食卓に出されたきのこ料理を食べなくてはいけない状況にあった時、
　　14:16	キノコを口にしたアナタはきっと消化不良を起こしてしまうでしょう。
　　14:22	それは、潜在意識がキノコを嫌いだということを察知し、
　　14:23	
　　14:27	その反応をあなたのカナダに起こさせるからです。
　　14:30	また、よるコーヒーを飲むと眠れなくなるという人も同じです。
　　14:32	
　　14:36	夜遅くコーヒーを飲んだことを特に意識しなくても、コーヒーを飲むと眠れなくなる、と
　　14:41	いう理屈を覚えている潜在意識があなたを眠らせないようにするからです
　　14:47	また、あなたが常に、
　　14:50	心や生活に余裕を持てる状況ではないと言っていたり、海外旅行や事業家としての独立など、
　　14:57	自分には夢でしかないのだと、思い込んでいれば潜在意識はそれを真に受けます。
　　15:04	そしてあなたには、事業化の道も海外旅行のチャンスさえも与えてはくれなくなるんです。
　　15:10	
　　15:11	これは、ネガティブな考えが真実だと思い込んでいたばかりに
　　15:11	ネガティブな結果を生むことになる一例です。
　　15:17	
　　15:19	では、ポジティブに積極的に考えてみるとどうなるでしょう。
　　15:20	
　　15:24	南カリフォルニア大学の女子大生の例があります。
　　15:29	彼女はクリスマスを家族と過ごすために帰省するところでした。
　　15:34	途中、彼女は小ウィンドウの中にとても素敵なバッグを見つけたのです。
　　15:38	一目でそれが気に入り、欲しくて欲しくてたまらなくなりました。
　　15:43	しかし、それは彼女にとって、とても手が届かない高価なものでした。
　　15:47	私にはとても手が出せないわ。
　　15:50	そう呟きそうになった時、彼女は私のセミナーでの言葉を思い出したそうです。
　　15:56	ネガティブな気持ちになりかけたら、すぐこれをポジティブな考えに切り替えなさい。
　　16:01	そうすれば必ずあなたに奇跡が起こります。
　　16:05	彼女はすぐにそれを試みました。
　　16:08	あのバッグは私のものに良い。
　　16:10	私が今ここでそのバッグと出会ったということは、私がそれを手に入れるために違いない。
　　16:17	私が強く望めば、あのバッグは私の手に入るはず。
　　16:23	クリスマスイブの夜、彼女は婚約者からプレゼントをもらいました
　　16:24	
　　16:28	そのプレゼントというのは、あのショーウィンドウで見たバックと同じものだったのです。
　　16:33	これは偶然ではありません。
　　16:36	偶然と思っている出来事はすべて、潜在意識が必然的に起こしている現実なんです。
　　16:43	あなたが期待や夢で心を満たし、
　　16:45	それが潜在意識に届くと、それはあなたの周りのあらゆるものを使って無限の力であなたに答えてくれます。
　　16:51	
　　16:55	彼女はその後、私にこう話してくれました。
　　17:00	あの時、私はあのバックお花をお金なんて無かったのです。
　　17:04	でも今は、私の欲しいものなら何でも手に入ると信じています。
　　17:10	私の中に秘められている無限の力を使いさえすればいいのです。
　　17:16	75歳の未亡人も場合、
　　17:19	[音楽]
　　17:20	私は先日、私のセミナーに出席したという女性から、一通の手紙をもらいました。
　　17:22	
　　17:27	彼女は75歳の未亡人で、子ども達はそれぞれ家庭を持ち、長く一人で年金暮らしをしていたそうです。
　　17:30	
　　17:36	75歳で1人暮らしというのはきっと、大変孤独なことでしょう。
　　17:39	
　　17:41	そんな時彼女は、私がセミナーで話したことを実行してみるのだそうです。
　　17:42	
　　17:46	私は１人ではない。
　　17:49	優しく思いやりのある人。
　　17:51	誰よりも私を愛し、大事にしてくれる人がきっとどこかにいるはず、私はその人と結ばれる運命なのだ。
　　17:58	
　　17:59	という言葉を彼女は日に何度も何度も繰り返し、
　　18:00	
　　18:03	信念を持って、自分に言い聞かせたのだそうです。
　　18:07	するとある日、1人の男性が彼女の前に現れました。
　　18:08	
　　18:11	親切で理解のある、彼女が思い描いていた通りの男性でした。
　　18:17	しかも、知り合って間もなく彼女はその男性にプロポーズされたそうです。
　　18:18	
　　18:24	この手紙は、新婚旅行先から届いたものでした。
　　18:25	
　　18:28	人が皆、心を持っています。
　　18:31	その心の中に、顕在意識と潜在意識が存在するのです。
　　18:36	あなたの考える事が、何度も潜在意識の中に入り、その考えに沿った結果を与えてくれます。
　　18:43	潜在意識こそ、あなたの感情や考えをそのまま表現する心です。
　　18:49	そして、潜在意識はある考えをいったんを受け入れると、すぐさまそれを実行しにかかりますから、
　　18:50	
　　18:56	十分気をつけなくてはいけません。
　　18:59	あなたが、どんな考えを持っていても、あなたの内なるスピリットの法則に従って、潜在意識
　　19:06	は中立的立場から思い通りの結果を与えてくれます。
　　19:11	つまり、潜在意識は善悪という判断から結果を与えるのではなくあなたの考えに忠実に従うだけなのです。
　　19:12	
　　19:20	
　　19:21	ですから、
　　19:22	あなたにとってメリットになることあなたの望むことを心から考えるなら、それらを
　　19:28	あなたに体験させてくれます。
　　19:31	潜在意識に、あなたの考えを受け取らせることができたとき、
　　19:35	健康も愛も地位もあなたの欲しがる全てのものを、手に入れることができるでしょう。
　　19:42	ある一つの考えが潜在意識に到達すると、その情報が確実に脳細胞にインプットされるそうです。
　　19:49	
　　19:50	この事実は心理学者や精神分析医も認めています。
　　19:55	すると、あなたの中の無限のエネルギー、そして知識はこの内なるスピリットの法則に同化し
　　19:56	
　　20:02	すべてを可能にしていくわけです。
　　20:05	何か新しいことを達成させることだけに限らず、あなたに起こる、さまざまな問題を解く鍵ともなってくれます。
　　20:12	
　　20:14	その結果が目に見えてくるのには、もちろん個人差があります。
　　20:18	それぞれ、その人のレベルに応じて見えてくるでしょう。



　　20:23	顕在意識と潜在意識の違い
　　20:27	よく聞いてください。
　　20:30	私たちには顕在意識と潜在意識という、２つの異なる心があるわけではないのです。	★
　　20:37	顕在意識というのは、あくまでも思考したり選択したりする心のことで、例えばあなたが
　　20:44	本や仕事や友達を選ぶときに使う意思のことです。
　　20:49	一方、潜在意識とは肉体的生命活動。
　　20:52	いわゆる、呼吸、消化、循環作用といった、
　　20:56	無意識のもとに働いているものと考えれば分かりやすいでしょう。
　　21:01	顕在意識のように、自ら思考することはなく、葛藤することもありません。
　　21:06	現在意識から流れる考えに従って、結果を作りだします。
　　21:11	あなたの考えが正しいか正しくないか、良いか悪いかの判断で結果を与えるわけでもありません。
　　21:16	
　　21:18	あなたの考えが良かろうが悪かろうが、
　　21:21	心に思い描いたことが実現されていくのです。



　　21:27	潜在意識に対するある実証
　　21:30	潜在意識について心理学者たちは数々の実験を行っています。
　　21:36	その結果からも、
　　21:37	潜在意識には、自ら選択や比較、判断する能力のないことが分かりました。
　　21:43	それは、どんな暗示でも受け入れる、その暗示通りの反応示すことが実証されたことです。
　　21:50	その時の実験例を挙げてみましょう。
　　21:52	[音楽]
　　21:54	ある人に、
　　21:55	あなたはナポレオンボナパルトです。と暗示をかけています。
　　21:59	そして、
　　22:01	今度は、あなたは猫になりました。とか、犬になりました。と言ってみます。
　　22:05	すると、その人は言われたとおりのものになりきってしまう。
　　22:10	また、
　　22:11	４人に全く異なる内容の異なる暗示を同時にかけてみます。
　　22:16	一人には背中がかゆいという暗示、
　　22:19	二人目は鼻血が出ているという暗示、
　　22:22	三人目にはあなたは大理石の像だという、
　　22:26	四人目には雪山で凍えている、という暗示を与えてみるのです。
　　22:31	各人はそれぞれ、与えられた暗示に対する反応を同時に見せました。
　　22:37	実に面白い結果ですが、
　　22:39	これは潜在意識が状況や環境を判断して反応するのではなく、
　　22:44	顕在意識から出された内容に応じている、ということを明らかにしています。
　　22:49	だからこそ、
　　22:51	あなたは常にポジティブ、
　　22:53	積極的な考えを持つように心がけなくてはいけないんです。
　　22:58	潜在意識が、良し悪しを判断して、受け入れるのではないのです。



　　23:05	超能力と呼ばれるもの
　　23:08	例えば、あなたがロサンゼルスを旅行し、その風景や建物、街並みに感激したとしますね。
　　23:09	
　　23:15	こういった、自分以外の対象物から、五感を通して受ける気持ちや、意識のことを、顕在意識
　　23:22	客観的精神と言います。
　　23:24	つまり、顕在意識は観察と体験と教育によって培われていくものなのです。
　　23:25	
　　23:31	一方、
　　23:33	潜在意識は第六感とも言われる直感などによって感知されるもので、
　　23:38	主観的精神と呼ばれています。
　　23:41	そして、主観的精神は、客観的精神が休止状態のとき、発揮されています。
　　23:49	いわゆる、
　　23:50	超能力とも呼ばれている、透視能力や読心能力は、この主観的精神が持つ能力のことです。
　　23:59	そのほかにも、対外遊離のように
　　24:02	精神が自由にあなたの行きたいところ、
　　24:05	見たいところへ飛んでいき情報を持ち帰ることもできます。
　　24:09	通常の客観的伝達手段を用いなくても、主観的精神で互いに了解し合うことができます。
　　24:16	
　　24:17	テレパシーはそれです。



　　24:21	潜在意識は自己主張をしない
　　24:25	あなたがネガティブな考えを持っていたとしても潜在意識はそれに次いで判断も意見もしません。
　　24:31	
　　24:33	ただ、それなりの状況や体験や結果を実現させるだけです。
　　24:34	
　　24:38	ですから、
　　24:39	今まで、あなたに起こったことはすべて、あなたの潜在意識に刻み込まれたことの表れなのです。
　　24:45	
　　24:46	もし、あなたが自分にとってネガティブな観念を植え付けてしまっていたら、今すぐそれを
　　24:52	ポジティブな方向へ切り替えることです。
　　24:56	そして、何度も自分に言い聞かせることです。
　　25:00	顕在意識の思考習慣は
　　25:03	知らないうちに潜在意識に刻印されていますから、
　　25:06	ポジティブに考える習慣があれば、それはすべて、あなたにとって良い影響をもたらすことになります。
　　25:11	
　　25:12	でも、もしあなたに、恐れや不安というネガティブな感情があるなら、今すぐそれを捨て、潜在
　　25:19	意識の力は信じるようにしてください。
　　25:21	そうすれば、潜在意識は内なるスピリットに従い神と同化することができます。
　　25:28	そして、あなたが望んだことを与えようと発動し始めるでしょう。
　　25:29	


　　25:35	潜在意識は暗示を受けやすい
　　25:40	今まで話してきたことは十分理解していただけましたか。
　　25:46	潜在意識は、
　　25:47	顕在意識の与えたイメージに反応するだけのことで、自ら選択したり判断したりすること
　　25:53	がないということです。
　　25:54	すると、顕在意識はあなたの潜在意識にマイナスになるような考えを受け入れないように
　　26:01	するための、門番とも言えますね。
　　26:04	潜在意識は暗示を受けやすいのです。
　　26:08	例えば、船旅の途中、気の弱そうな乗客にこんなことを言ってみます。
　　26:13	大丈夫ですか顔色があるようですよ。
　　26:16	きっと、船酔いですよ。あなたのお部屋に連れて行ってあげますから、
　　26:19	部屋で休まれた方がいいですよ。
　　26:21	そう言われると、実はどこも具合が悪くはなかったのにその人は、その言葉を聞くと船酔いの
　　26:28	自覚症状を感じ出すようになります。
　　26:30	これがいわゆる、暗示というものです。



　　26:36	暗示にかかる理由
　　26:38	一つの暗示に対する反応は、人それぞれです。
　　26:42	今挙げた例のように、船に乗り慣れない乗客であれば簡単に暗示にかかり、
　　26:47	自覚症状も出るでしょう。
　　26:50	ところが、同じことを乗組員に言ってみたらどうでしょうか。
　　26:54	ジョークだと笑うか、あるいは不愉快に思う船員もいるかもしれません。
　　26:58	辞書には暗示とは、
　　27:01	他人の心の中に無意識のうちにある関連を植え付けることがあります
　　27:07	つまりある考えや関連が受け入れられ、
　　27:10	実行される時の精神的プロセスを意味します。
　　27:14	ただし、顕在意識の意思に逆らって潜在意識にある関連を植え付けることができます。
　　27:21	言い換えれば、
　　27:23	顕在意識は与えられた暗示を拒絶することができるということです。		★
　　27:28	これはとても重要なことですから忘れないでください。			★
　　27:32	乗組員が暗示にかからなかったのは、自分が職業柄
　　27:37	船酔いなどするはずがない、という強い信念があったからです。
　　27:40	だから、彼の顕在意識が船酔いという暗示を拒絶し潜在意識まで届かなかったわけです。
　　27:49	ところが、気の弱そうな乗客の方は暗示にかかり、
　　27:53	船酔いに対する恐怖と不安が呼び起こされてしまったわけです。
　　27:58	つまり、顕在意識がそれを認めたために、何でもなかったはずの彼が潜在意識の働きで自覚
　　28:04	症状を感じてしまったわけです。
　　28:07	私たちは誰でも心に不安と恐怖心、信念と意思を持っています。
　　28:08	
　　28:13	そして、これらが私たちを支配しているのです。
　　28:17	暗示は、あなたの顕在意識が受け入れない限り何の力も持ちません。
　　28:19	
　　28:24	ですから、
　　28:25	顕在意識を常にポジティブなものにしておくことが大切なのです。



　　28:33	不思議な出来事、その1　代償
　　28:36	
　　28:38	私は、２、３年ごとに、私の作ったロンドン・シンディ・フォーラムで講演を行っていました。
　　28:40	
　　28:45	ある日、ここ所長のイヴリン・フリート伯爵が新聞に掲載された暗示についての記事を私に
　　28:51	話してくれました。
　　28:52	それは、
　　28:53	不治の皮膚病と関節炎に苦しむ娘を持つ男の話でした。
　　28:58	彼は苦しむ哀れの娘のカラダが治るなら、自分の右腕をなくしても構わないと、２年間も
　　29:05	願望の入力を行い続けていたのだそうです。
　　29:09	ある日、彼は事故で右腕が肩からもげ取られてしまいました。
　　29:14	それと同時に、不思議にも彼の娘の不治の病はすっかり治ってしまったのがそうです。
　　29:19	そんなことがあるのか、と不思議に思うかもしれませんが、
　　29:23	潜在意識の持つ力に可能なことなどありません。
　　29:27	いいですか？
　　29:29	潜在意識にジョークは通用しません。
　　29:31	すべてあなたが望む真実だと理解し、事を成すことを忘れないでください。
　　29:35	



　　29:40	不思議な出来事、その２　自己暗示
　　29:45	自己暗示とは、自らが自分の心の中にある観念を植え付けることです。
　　29:46	
　　29:51	ハーバート・パーキンの記した『自己暗示』という本に面白い例がありましたので紹介しましょう。
　　29:56	
　　29:58	ある日、ニューヨークに住む a さんがシカゴの友人 b さんの家を訪ねた時のことです。
　　30:03	
　　30:05	ニューヨークとシカゴでは、１時間の時差がありますから a さんの腕時計は b さん
　　30:10	よりも１時間進んでいました。
　　30:13	a さんは自分の腕時計を見てもう12時だと呟くと、それを聞いた b さんはおなか
　　30:18	がすいたから昼食をとりにいこうと、 a さんを誘ったそうです。
　　30:23	その他にも自己暗示は自分の中のネガティブな感情を消すときにも使われます。
　　30:28	[音楽]
　　30:30	オーディションを受けた若い歌手のことです。
　　30:33	彼女は以前にも３度ほどオーディションを受けたことがありました。
　　30:38	ところが、不安と緊張で彼女はさんは３度ともの失敗してしまいました。
　　30:43	私の歌は気に入ってもらえないかもしれない。
　　30:46	「きっとだめだわ。また落とされるに違いない。」そんな気持ちが彼女の自信を喪失させ失敗させて
　　30:52	しまったのです。
　　30:54	それで彼女は今回は同じ失敗を繰り返すまいと１日に３回ある自己暗示をかけることに
　　31:01	しました。
　　31:02	アームチェアにゆったりと腰を下ろし、全身の力を抜きリラックスして、
　　31:08	心の中で、こう唱えるのです。
　　31:11	「私はきっと上手く歌える
　　31:14	落ち着いて平静にいつものように堂々と歌える。
　　31:18	そしてみんなを感動させるのだ！」と
　　31:21	３回のうち１回は寝る前に、あとの２回もできるだけ心も体もリラックスした状態で行いました。
　　31:29	
　　31:30	リラックスして行うのが、いちばんのポイントなのです。
　　31:34	心が自動的になって、暗示を受けやすくなるからです。
　　31:39	彼女は、
　　31:40	オーディションの日まで毎日欠かさず、
　　31:43	これを自分に言い聞かせました。そして、とうとうオーディションに合格することができたのです。
　　31:48	



　　31:50	不思議な出来事、その３　奇跡
　　31:55	75歳になるある女性が
　　31:58	次第に衰えていく記憶力を悲観していました。ところが、
　　32:02	ある日からそのことを気にする代わりに、こう考え始めたのです。
　　32:07	今日から、私の記憶力は若さを取り戻し、
